Restaurant_Name	Restaurant_URL	Cuisine_Type	Address
Haile Bistro	/ny/new-york/379149-haile-bistro/menu/	Ethiopian	182 Avenue B New York, NY, 10009
Heart of India	/ny/new-york/294278-heart-of-india/menu/	Indian	79 2nd Ave New York, NY, 10003
Pisillo	/ny/new-york/375935-pisillo/menu/	Italian, Sandwiches	97 Nassau St New York, NY, 10038
Proto's Pizza	/ny/new-york/311291-proto-s-pizza/menu/	Italian, Pizza	50 2nd Ave New York, NY, 10003
Red 58	/ny/new-york/305871-red-58/menu/	American (New)	158 W 58th St New York, NY, 10019
Irving Farm Coffee	/ny/new-york/363506-irving-farm-coffee/menu/	Coffee & Tea, Sandwiches	224 W 79th St New York, NY, 10024
Abyssinia	/ny/new-york/362244-abyssinia/menu/	Ethiopian, African	268 W 135th St New York, NY, 10030
Swine	/ny/new-york/364120-swine/menu/	American (New)	531 Hudson St New York, NY, 10014
Little Fox Cafe	/ny/new-york/352959-little-fox-cafe/menu/	Coffee & Tea, Sandwiches	62 Kenmare St New York, NY, 10012
Luna Pizza	/ny/new-york/355591-luna-pizza/menu/	Italian, Pizza	225 Park Row New York, NY, 10038
La Maison du Chocolat	/ny/new-york/355730-la-maison-du-chocolat/menu/	Desserts	30 Rockefeller Plz New York, NY, 10112
Ray's Gourmet Market	/ny/new-york/294403-ray-s-gourmet-market/menu/	Deli Food, Sandwiches, Salads	201 2nd Ave New York, NY, 10003
Strokos Fine Foods	/ny/new-york/305972-strokos-fine-foods/menu/	Deli Food, Sandwiches, Salads	1121 St Nicholas Ave New York, NY, 10032
caffebene	/ny/new-york/303997-caffebene/menu/	Korean, Coffee & Tea	1611 Broadway New York, NY, 10019
99 Cent Express Pizza	/ny/new-york/301007-99-cent-express-pizza/menu/	Italian, Pizza	301 W 43rd St New York, NY, 10036
Pret A Manger	/ny/new-york/309148-pret-a-manger/menu/	Sandwiches, Soups, Salads	135 W 50th St New York, NY, 10020
La Margarita	/ny/new-york/320175-la-margarita/menu/	Pizza	168 Ludlow St New York, NY, 10002
Chloe's Soft Serve Fruit	/ny/new-york/318510-chloe-s-soft-serve-fruit/menu/	Smoothies & Juices, Desserts	25 E 17th St New York, NY, 10003
Robusta Espresso Bar	/ny/new-york/318439-robusta-espresso-bar/menu/	Coffee & Tea	7 Hanover Sq New York, NY, 10004
Pierre Loti Wine Bar	/ny/new-york/318623-pierre-loti-wine-bar/menu/	Mediterranean, Alcohol, Tapas	300 1/2 E 52nd St New York, NY, 10022
Mr. Chow Tribeca	/ny/new-york/340560-mr-chow-tribeca/menu/	Chinese, Wild Game	121 Hudson St New York, NY, 10013
Pennsylvania 6 NYC	/ny/new-york/341542-pennsylvania-6-nyc/menu/	American, Gastropub	132 W 31st St New York, NY, 10001
La Maison du Chocolat	/ny/new-york/355731-la-maison-du-chocolat/menu/	Desserts	1018 Madison Ave New York, NY, 10075
Baked by Melissa	/ny/new-york/354715-baked-by-melissa/menu/	Bakery & Pastries, Desserts	526 7th Ave New York, NY, 10018
Knave	/ny/new-york/352136-knave/menu/	Italian, Alcohol, Cocktails	119 W 56th St New York, NY, 10019
A&A	/ny/new-york/358146-a-a/menu/	Deli Food, Sandwiches	456 W 45th St New York, NY, 10036
Chorus Karaoke	/ny/new-york/358793-chorus-karaoke/menu/	Asian Fusion, Bar Food	25 W 32nd St New York, NY, 10001
L.A. Burdick	/ny/new-york/358558-l-a-burdick/menu/	Coffee & Tea, Desserts	5 E 20th St New York, NY, 10003
150 Market	/ny/new-york/358564-150-market/menu/	Deli Food, Sandwiches	150 William St New York, NY, 10038
Bee's Knees Baking Co.	/ny/new-york/356706-bee-s-knees-baking-co/menu/	Bakery & Pastries, Desserts	113 W 10th St New York, NY, 10011
New York Sushi Ko	/ny/new-york/357118-new-york-sushi-ko/menu/	Japanese, Sushi	91 Clinton St New York, NY, 10002
Sweet Buttons Desserts	/ny/new-york/357185-sweet-buttons-desserts/menu/	Bakery & Pastries, Desserts	84 Rivington St New York, NY, 10002
Mysttik Masaala	/ny/new-york/357401-mysttik-masaala/menu/	Indian, Tibetan, Vegetarian	304 E 44th St New York, NY, 10017
Der Krung Thai Cuisine	/ny/new-york/361386-der-krung-thai-cuisine/menu/	Thai	860 9th Ave New York, NY, 10019
Boxers NYC	/ny/new-york/359585-boxers-nyc/menu/	Pizza, Bar Food	37 W 20th St New York, NY, 10011
The Drunken Horse NYC	/ny/new-york/360071-the-drunken-horse-nyc/menu/	Mediterranean, Alcohol, Tapas	225 10th Ave New York, NY, 10011
Iguazu Wine & Grill	/ny/new-york/362128-iguazu-wine-grill/menu/	Coffee & Tea, South American	26 Jefferson St Store B New York, NY, 10002
Miami Food Machine	/ny/new-york/362078-miami-food-machine/menu/	Cuban, Latin American	Location Varies New York, NY, 10013
Sugar and Plumm	/ny/new-york/362956-sugar-and-plumm/menu/	Desserts	257 Bleecker St New York, NY, 10014
Joe the Art of Coffee	/ny/new-york/362953-joe-the-art-of-coffee/menu/	Coffee & Tea	514 Columbus Ave New York, NY, 10024
Court Street Grocers Sandwich Shop	/ny/new-york/379750-court-street-grocers-sandwich-shop/menu/	Sandwiches	600 11th Ave New York, NY, 10036
Vien	/ny/new-york/373772-vien/menu/	Asian Fusion	220 Varick St New York, NY, 10014
Genuine Roadside	/ny/new-york/379748-genuine-roadside/menu/	Soul Food	600 11th Ave New York, NY, 10036
NYC Deli Market Corp #1	/ny/new-york/403434-nyc-deli-market-corp-1/menu/	Deli Food, Sandwiches	129 Avenue D New York, NY, 10009
Empire Steak House	/ny/new-york/386208-empire-steak-house/menu/	Seafood, Steak	237 W 54th St New York, NY, 10019
Empire Steak House	/ny/new-york/386208-empire-steak-house/menu/	Seafood, Steak	237 W 54th St New York, NY, 10019
Sant Ambroeus	/ny/new-york/385969-sant-ambroeus/menu/	Italian	265 Lafayette St New York, NY, 10012
China King	/ny/new-york/380551-china-king/menu/	Chinese	285 3rd Ave New York, NY, 10010
Mozzarella & Vino	/ny/new-york/380657-mozzarella-vino/menu/	Italian, Alcohol	33 W 54th St New York, NY, 10019
Curry Club	/ny/new-york/385546-curry-club/menu/	Indian	254 W 108th St New York, NY, 10025
Grandma's Secrets	/ny/new-york/389053-grandma-s-secrets/menu/	Bakery & Pastries, Desserts	562 W 174th St New York, NY, 10033
New Dragon	/ny/new-york/386912-new-dragon/menu/	Chinese	2413 2nd Ave New York, NY, 10035
Chez Jef	/ny/new-york/386835-chez-jef/menu/	French	241 Bowery New York, NY, 10002
Falanghina Pizza Bar	/ny/new-york/386414-falanghina-pizza-bar/menu/	Italian, Pizza	130 St Marks Pl New York, NY, 10009
Lady Lexis	/ny/new-york/386514-lady-lexis/menu/	Bakery & Pastries, Desserts	1931 Madison Ave New York, NY, 10035
OBICA Mozzarella Bar	/ny/new-york/423366-obica-mozzarella-bar/menu/	Italian, Pizza, Tapas	928 Broadway New York, NY, 10010
Gran Morsi	/ny/new-york/438225-gran-morsi/menu/	Italian, Pizza	22 Warren St New York, NY, 10007
