name	menu_link	type	address	lon	lat	is_location_valid
Da Capo Aperitivo E Caffe	/ny/new-york/389066-da-capo-aperitivo-e-caffe/menu/	Italian, Coffee & Tea	1392 Madison Ave New York, NY, 10029	-73.954025	40.7876673	true
Mex Carroll's Diner	/ny/new-york/382424-mex-carroll-s-diner/menu/		192 Columbia St New York, NY, 11231	-74.00270875324466	40.68553944999999	true
Roast Kitchen	/ny/new-york/385357-roast-kitchen/menu/	Salads, Healthy	740 7th Ave New York, NY, 10019	-73.9839568	40.7604367	true
Bluestone Lane	/ny/new-york/385884-bluestone-lane/menu/	Coffee & Tea	30 Broad St New York, NY, 10004	-74.01165136248397	40.706275250000004	true
Tablao Tapas Y Restaurante	/ny/new-york/385910-tablao-tapas-y-restaurante/menu/	Spanish, Tapas	361 Greenwich St New York, NY, 10013	-74.00999874439884	40.719017050000005	true
Le Cafe Coffee	/ny/new-york/385923-le-cafe-coffee/menu/	Coffee & Tea	7 E 14th St New York, NY, 10003	-73.99243018311981	40.7357597	true
FC Gotham	/ny/new-york/386149-fc-gotham/menu/	American	409 W 13th St  New York, NY, 10014	-74.006479	40.7406299	true
Pizza Vinoteca	/ny/new-york-city/389129-pizza-vinoteca/menu/	Italian, Pizza, Alcohol	15 Union Sq W New York City, NY, 10003	-73.9915327	40.7357447	true
Bocca di Bacco	/ny/new-york/393070-bocca-di-bacco/menu/	Italian	191 7th Ave New York, NY, 10011	-73.99611702814562	40.7428831	true
Clinton Square Pizza	/ny/new-york/393214-clinton-square-pizza/menu/	Pizza	201 Clinton St New York, NY, 10002	-73.9872441	40.7139486	true
Go Greenly Inwood	/ny/new-york/395965-go-greenly-inwood/menu/	Desserts, Teahouses	4865 Broadway New York, NY, 10034	-73.923892	40.8668982	true
Serengeti Teas & Spices	/ny/new-york/396021-serengeti-teas-spices/menu/	Coffee & Tea, Teahouses	2292 Frederick Douglass Blvd New York, NY, 10027	-73.9517412562767	40.80892015	true
The Shake & Burger Bar	/ny/new-york/401219-the-shake-burger-bar/menu/		344 3rd Ave New York, NY, 10010	-73.98233665367245	40.740457750000004	true
Halal Kharian Deli	/ny/new-york/403260-halal-kharian-deli/menu/	Indian	184 7th Ave New York, NY, 10011	-73.9968269	40.7427807	true
Fish & Shrimp	/ny/new-york/436971-fish-shrimp/menu/	Seafood	2089 Amsterdam Ave New York, NY, 10032	-73.93879870888387	40.836807750000006	true
Nick's Pizza Bar	/ny/new-york/436764-nick-s-pizza-bar/menu/	Italian, Pizza	365 3rd Ave New York, NY, 10016	-73.9812311346636	40.74087245	true
So-Home	/ny/new-york/436882-so-home/menu/	Turkish, Local/Organic	410 W Broadway New York, NY, 10012	-74.0018956	40.7248305	true
Que Rico Pollo	/ny/new-york/434514-que-rico-pollo/menu/	Puerto Rican, Latin American	46 St Nicholas Ave New York, NY, 10026	-73.9522696	40.8000773	true
Boqueria	/ny/new-york/436742-boqueria/menu/	Spanish, Alcohol, Tapas	1460 Second Ave New York, NY, 10075	-73.70245100000001	42.72577351020408	true
Mimi Cheng's	/ny/new-york/456915-mimi-cheng-s/menu/	Chinese, Dim Sum	179 2nd Ave New York, NY, 10003	-73.7691959745885	42.63939405	true
Goggan	/ny/new-york/466669-goggan/menu/	Korean	364 W 46th St New York, NY, 10036	-73.990292187661	40.7605514	true
DumplingGo	/ny/new-york/466893-dumplinggo/menu/	Asian Fusion	121 W 3rd St New York, NY, 10012	-74.000436	40.7305853	true
Akami Sushi	/ny/new-york/424485-akami-sushi/menu/	Japanese, Sushi	1773 1st Ave New York, NY, 10128	-73.94684609090909	40.78051163636364	true
Heavenly Market and Deli	/ny/new-york/424649-heavenly-market-and-deli/menu/	Deli Food, Sandwiches, Smoothies & Juices	77 3rd Ave New York, NY, 10003	-73.986821	40.7331529	true
Hogshead Tavern	/ny/new-york/477521-hogshead-tavern/menu/	Bar Food	126 Hamilton Pl New York, NY, 10031	-73.9493848	40.8239295	true
Grill on the Hill	/ny/new-york/477647-grill-on-the-hill/menu/	Bar Food	1624 Amsterdam Ave New York, NY, 10031	-73.9500208	40.8222409	true
Mysttik Masaala	/ny/new-york/476450-mysttik-masaala/menu/	Indian, Vegetarian	7 Hanover Sq New York, NY, 10004	-74.0096105445594	40.70408545	true
Harp Raw Bar & Grill	/ny/new-york/476845-harp-raw-bar-grill/menu/	Seafood, Soul Food	729 3rd Ave New York, NY, 10017	-73.97257051805616	40.752868449999994	true
Ricardo Ocean Grill	/ny/new-york/478718-ricardo-ocean-grill/menu/	Mediterranean, Seafood	2312 2nd Ave New York, NY, 10035	-73.936383	40.7985979	true
Beans & Vines	/ny/new-york/353860-beans-vines/menu/	Coffee & Tea, Alcohol, Tapas	4842 Broadway New York, NY, 10034	-73.92464496780039	40.866250949999994	true
East 12th Osteria	/ny/new-york/363696-east-12th-osteria/menu/	Italian	197 1st Ave New York, NY, 10009	-73.9820123	40.7320959	true
TAJ	/ny/new-york/251581-taj/menu/	Indian	310 E 6th St New York, NY, 10003	-73.98796978185013	40.7269821	true
Zest Japanese & Thai	/ny/new-york/317979-zest-japanese-thai/menu/	Japanese, Sushi	249 Broome St New York, NY, 10002	-73.99005657142857	40.717982	true
Matryoshka	/ny/new-york/318807-matryoshka/menu/	Russian, Eastern European	88 Fulton St New York, NY, 10038	-74.0057404	40.7090684	true
Robert's Restaurant	/ny/new-york/367897-robert-s-restaurant/menu/	American (New), Steak	536 W 28th St New York, NY, 10001	-74.0035227	40.7514107	true
Upstairs at '21'	/ny/new-york/352520-upstairs-at-21/menu/	American	21 W 52nd St New York, NY, 10019	-73.97741646781753	40.760490450000006	true
Pronto Pizza	/ny/new-york/7824-pronto-pizza/menu/	Italian, Pizza	1333 Broadway New York, NY, 10001	-73.70090260710141	42.723561000000004	true
Twins Pub	/ny/new-york/248690-twins-pub/menu/	Burgers, American, Bar Food	421 9th Ave New York, NY, 10001	-73.9967415	40.7531379	true
Lexington Candy Shop	/ny/new-york/299512-lexington-candy-shop/menu/	Diner	1226 Lexington Ave New York, NY, 10028	-73.9572445	40.7774615	true
beQu Juice	/ny/new-york/334433-bequ-juice/menu/	Smoothies & Juices	350 E 9th St New York, NY, 10003	-73.9853229	40.7282775	true
BXL Zoute	/ny/new-york/336333-bxl-zoute/menu/	Belgian	50 W 22nd St New York, NY, 10010	-73.99263780000001	40.7417155	true
Hibernia	/ny/new-york/358356-hibernia/menu/	Irish, American, Bar Food	401 W 50th St New York, NY, 10019	-73.9890998	40.7636531	true
Crave Sandwiches	/ny/new-york/318648-crave-sandwiches/menu/	Coffee & Tea, Sandwiches, Salads	1120 Ave of the Americas New York, NY, 10036	-73.9831832	40.7554679	true
Pepe Rosso Social	/ny/new-york/379212-pepe-rosso-social/menu/	Italian	173 Mott St New York, NY, 10013	-73.9961864	40.7200431	true
Five Tacos	/ny/new-york/321731-five-tacos/menu/	Mexican	119 St Marks Pl New York, NY, 10009	-73.98347811839226	40.727097799999996	true
Tres Carnes	/ny/new-york/362995-tres-carnes/menu/	Southwestern, Mexican	688 6th Ave New York, NY, 10010	-73.9931655	40.7420525	true
Hot Sichuan	/ny/new-york/403776-hot-sichuan/menu/	Chinese	130 9th Ave New York, NY, 10011	-74.00320570000001	40.743508899999995	true
Haile Bistro	/ny/new-york/379149-haile-bistro/menu/	Ethiopian	182 Avenue B New York, NY, 10009	-73.97944929975901	40.727796749999996	true
Heart of India	/ny/new-york/294278-heart-of-india/menu/	Indian	79 2nd Ave New York, NY, 10003	-73.76411275000001	42.63882515	true
Pisillo	/ny/new-york/375935-pisillo/menu/	Italian, Sandwiches	97 Nassau St New York, NY, 10038	-74.00761733333333	40.710478333333334	true
Proto's Pizza	/ny/new-york/311291-proto-s-pizza/menu/	Italian, Pizza	50 2nd Ave New York, NY, 10003	-73.9897977	40.7253863	true
Red 58	/ny/new-york/305871-red-58/menu/	American (New)	158 W 58th St New York, NY, 10019	-73.9787646	40.7657475	true
Irving Farm Coffee	/ny/new-york/363506-irving-farm-coffee/menu/	Coffee & Tea, Sandwiches	224 W 79th St New York, NY, 10024	-73.97949699287327	40.78337425	true
Abyssinia	/ny/new-york/362244-abyssinia/menu/	Ethiopian, African	268 W 135th St New York, NY, 10030	-73.9458914	40.8160376	true
Swine	/ny/new-york/364120-swine/menu/	American (New)	531 Hudson St New York, NY, 10014	-74.0064282	40.7342421	true
Little Fox Cafe	/ny/new-york/352959-little-fox-cafe/menu/	Coffee & Tea, Sandwiches	62 Kenmare St New York, NY, 10012	-73.9960322	40.7208559	true
Luna Pizza	/ny/new-york/355591-luna-pizza/menu/	Italian, Pizza	225 Park Row New York, NY, 10038	-73.9987642	40.7132119	true
La Maison du Chocolat	/ny/new-york/355730-la-maison-du-chocolat/menu/	Desserts	30 Rockefeller Plz New York, NY, 10112	-73.97955598843194	40.759123200000005	true
Ray's Gourmet Market	/ny/new-york/294403-ray-s-gourmet-market/menu/	Deli Food, Sandwiches, Salads	201 2nd Ave New York, NY, 10003	-73.986003125	40.7315148	true
Strokos Fine Foods	/ny/new-york/305972-strokos-fine-foods/menu/	Deli Food, Sandwiches, Salads	1121 St Nicholas Ave New York, NY, 10032	-73.9400968	40.8393848	true
